Sales Rep,Group,Rate (%),Orders,Total Sales,Commission,Avg Order
Second Warehouse,New,12,0,0,0,0
Mitchell Keebler,Southeast 85362,6.19,0,0,0,0
Dr. Green Hamill,Southeast 85362,6.75,0,0,0,0
Mr. Salvatore Bechtelar,Southeast 85362,7.76,0,0,0,0
Clifton Cassin DVM,Southeast 85362,6.5,0,0,0,0
Mr. Bartholome Champlin PhD,Mid-Market 23475,4.03,0,0,0,0
Ethel Wolf V,Mid-Market 23475,3.88,0,0,0,0
Rowan Larson II,Mid-Market 23475,3.67,0,0,0,0
Johnathon Ritchie,Mid-Market 23475,7.46,0,0,0,0
Drew Spencer V,Mid-Market 23475,4.12,0,0,0,0
Modesto Gottlieb,West Coast 37233,3.83,0,0,0,0
Concepcion Durgan,West Coast 37233,4.57,0,0,0,0
Carey Konopelski DVM,West Coast 37233,4.88,0,0,0,0
Miss Hanna Okuneva III,West Coast 37233,5.72,0,0,0,0
Sandra Nienow,Strategic Accounts 66097,6.74,0,0,0,0
